date,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD
2023-01-16,21952.0,0.0,7534.0,8544.0,10066.0,8811.0,6086.0,7080.0,7290.0,224.0,9136.0,36726.0,3851.0,256.0,9880.0,0.0,137.0,6219.0,471.0
2023-02-01,22280.0,0.0,10621.0,11463.0,13065.0,11159.0,10352.0,12641.0,12002.0,228.0,9537.0,35444.0,5.0,119.0,9880.0,0.0,630.0,5751.0,201.0
2023-02-08,21952.0,0.0,8774.0,9505.0,10385.0,8592.0,7119.0,7330.0,7359.0,224.0,9292.0,36162.0,2244.0,227.0,9880.0,0.0,148.0,6055.0,406.0
2023-02-24,22280.0,0.0,8838.0,9711.0,10897.0,10032.0,7720.0,8329.0,8376.0,224.0,9561.0,36119.0,8.0,115.0,9880.0,0.0,611.0,5989.0,192.0
2023-03-05,23888.0,0.0,7688.0,8518.0,10323.0,8618.0,6539.0,8156.0,8135.0,224.0,9134.0,36662.0,13.0,263.0,9880.0,0.0,578.0,6202.0,478.0
2023-03-21,21952.0,0.0,7807.0,8799.0,10557.0,9035.0,6629.0,7345.0,7526.0,224.0,9238.0,36148.0,681.0,243.0,9880.0,0.0,222.0,6045.0,435.0
2023-03-28,21952.0,0.0,8253.0,9246.0,10745.0,9316.0,7017.0,7248.0,7302.0,224.0,9254.0,36695.0,210.0,230.0,9880.0,0.0,278.0,6216.0,405.0
2023-04-13,21952.0,0.0,8632.0,9348.0,10056.0,8157.0,7159.0,7424.0,7469.0,164.0,8597.0,37526.0,1804.0,550.0,9880.0,0.0,169.0,6756.0,1080.0
2023-05-08,21952.0,0.0,8670.0,9059.0,9269.0,7729.0,7181.0,7313.0,7351.0,164.0,7867.0,39161.0,1506.0,709.0,9880.0,0.0,180.0,7154.0,1441.0
2023-05-15,21952.0,0.0,7910.0,8386.0,9015.0,7573.0,7041.0,7286.0,7327.0,228.0,9280.0,39722.0,2879.0,271.0,9880.0,0.0,138.0,7431.0,481.0
2023-05-24,22280.0,0.0,20516.0,20706.0,20286.0,20089.0,20479.0,20080.0,19416.0,224.0,7483.0,35809.0,0.0,858.0,9880.0,0.0,675.0,6233.0,1767.0
2023-05-31,21952.0,0.0,7383.0,7877.0,8204.0,7391.0,7381.0,7828.0,7857.0,224.0,7899.0,40980.0,1868.0,822.0,9880.0,0.0,163.0,8020.0,1671.0
2023-06-09,21952.0,0.0,7919.0,8236.0,8332.0,7359.0,7114.0,7475.0,7529.0,228.0,7567.0,41085.0,1655.0,813.0,9880.0,0.0,179.0,7757.0,1642.0
2023-06-16,22280.0,0.0,25505.0,25308.0,24444.0,24326.0,24437.0,23419.0,21824.0,224.0,6928.0,37769.0,0.0,1034.0,9880.0,0.0,700.0,6813.0,2168.0
2023-06-25,21952.0,0.0,7421.0,7670.0,7817.0,7231.0,7190.0,7575.0,7606.0,228.0,6396.0,42162.0,4241.0,1322.0,9880.0,0.0,219.0,8344.0,2862.0
2023-07-11,21952.0,0.0,7278.0,7635.0,8026.0,7481.0,7595.0,8072.0,8142.0,224.0,6562.0,40092.0,70.0,1286.0,9880.0,0.0,419.0,7808.0,2782.0
2023-07-18,21952.0,0.0,7532.0,7870.0,8182.0,7753.0,7800.0,8108.0,8070.0,224.0,7001.0,42963.0,2309.0,1078.0,9880.0,0.0,183.0,8519.0,2264.0
2023-07-27,22280.0,0.0,24649.0,24649.0,23861.0,24001.0,24490.0,23312.0,21654.0,224.0,5272.0,40493.0,0.0,1672.0,9880.0,0.0,747.0,7995.0,3864.0
2023-08-03,21952.0,0.0,7290.0,7563.0,8069.0,7591.0,7566.0,7870.0,7811.0,224.0,6283.0,43406.0,2914.0,1349.0,9880.0,0.0,224.0,8680.0,2933.0
2023-08-12,22280.0,0.0,7067.0,7499.0,8414.0,7893.0,8381.0,9786.0,9493.0,224.0,5480.0,40683.0,0.0,1614.0,9880.0,0.0,740.0,7955.0,3614.0
2023-08-19,21952.0,0.0,7315.0,7570.0,7932.0,7478.0,7328.0,7510.0,7531.0,224.0,7821.0,42730.0,2208.0,794.0,9880.0,0.0,148.0,8511.0,1609.0
2023-08-28,21952.0,0.0,7751.0,7799.0,7769.0,7438.0,7247.0,7334.0,7343.0,100.0,8102.0,42623.0,163.0,712.0,9880.0,0.0,289.0,8530.0,1422.0
2023-09-04,21952.0,0.0,7327.0,7508.0,7775.0,7435.0,7327.0,7495.0,7499.0,160.0,5919.0,42713.0,1821.0,1518.0,9880.0,0.0,242.0,8586.0,3363.0
2023-09-13,22280.0,0.0,7998.0,8305.0,8833.0,8694.0,9619.0,11301.0,11085.0,228.0,7665.0,41759.0,2.0,793.0,9880.0,0.0,587.0,8038.0,1611.0
2023-09-20,22280.0,0.0,6641.0,6622.0,8000.0,7924.0,10080.0,12638.0,12565.0,224.0,7086.0,40525.0,0.0,1003.0,9880.0,0.0,656.0,7658.0,2101.0
